"campaignid","sample","family","genus","species","length","number","range"
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",182.08439,1,2492.92551
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",150.912,1,1893.75699
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",144.05206,1,2076.68636
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",163.79399,1,2970.88915
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",123.59202,1,3775.20583
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",108.67172,1,3106.70737
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",142.15968,1,2455.50968
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",132.99476,1,2277.56202
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",53.68697,1,1748.99934
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",101.54387,1,1331.55472
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",89.01409,1,1733.31692
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",62.9384,1,1510.78294
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",88.10796,1,1373.88615
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",90.72524,1,1533.45589
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",83.90918,1,1262.24225
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",80.74184,1,1147.40945
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",72.47056,1,1430.44015
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",93.01117,1,1212.7739
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",86.05845,1,1190.2246
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",88.04972,1,1045.95737
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",94.44409,1,1224.67047
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",78.99138,1,1107.53927
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",96.07581,1,1244.12141
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",80.80057,1,1269.50979
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",72.83787,1,1216.77823
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",71.71607,1,1004.51545
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",83.55372,1,1313.03733
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",89.49972,1,916.50842
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",86.60013,1,1065.70417
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",73.14965,1,870.39524
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",85.08618,1,768.36587
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",78.48847,1,1393.78787
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",77.71171,1,1312.22462
"2020-06_south-west_stereo-BRUVs","05","Heterodontidae","Heterodontus","portusjacksoni",491.86869,1,3393.89016
"2020-06_south-west_stereo-BRUVs","05","Oplegnathidae","Oplegnathus","woodwardi",337.30443,1,1829.74789
"2020-06_south-west_stereo-BRUVs","05","Oplegnathidae","Oplegnathus","woodwardi",418.23047,1,1458.94549
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",97.25001,1,975.82963
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",107.15103,1,888.08527
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",82.03342,1,806.25352
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",113.23061,1,695.76199
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",116.01301,1,619.11639
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",87.40813,1,748.10133
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",74.99105,1,1167.61592
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",89.66798,1,756.55649
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",91.83588,1,820.65134
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",72.12377,1,919.68224
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",124.67592,1,661.29008
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",120.02497,1,660.0895
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",99.53492,1,862.08988
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",140.84598,1,1764.06439
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",86.11149,1,1013.61806
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",96.28213,1,987.82494
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Meuschenia","freycineti",448.34687,1,4313.57295
"2020-06_south-west_stereo-BRUVs","06","Carangidae","Pseudocaranx","spp",89.55532,1,1749.82717
"2020-06_south-west_stereo-BRUVs","06","Oplegnathidae","Oplegnathus","woodwardi",430.17641,1,3743.45877
"2020-06_south-west_stereo-BRUVs","06","Scorpididae","Neatypus","obliquus",71.49993,1,2112.50593
"2020-06_south-west_stereo-BRUVs","06","Labridae","Austrolabrus","maculatus",55.13398,1,2080.92931
"2020-06_south-west_stereo-BRUVs","06","Labridae","Austrolabrus","maculatus",97.47435,1,2852.26898
"2020-06_south-west_stereo-BRUVs","06","Odacidae","Siphonognathus","caninis",86.22724,1,1165.04498
"2020-06_south-west_stereo-BRUVs","06","Triakidae","Mustelus","antarcticus",965.91455,1,2301.17226
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",118.92162,1,1426.82958
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",119.54153,1,3843.64206
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",106.6519,1,1811.88215
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",109.09532,1,2262.87727
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",136.08302,1,2255.23181
"2020-06_south-west_stereo-BRUVs","06","Heterodontidae","Heterodontus","portusjacksoni",540.74202,1,4490.7232
"2020-06_south-west_stereo-BRUVs","06","Heterodontidae","Heterodontus","portusjacksoni",513.59132,1,3805.53447
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",252.97451,1,3463.75309
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",69.02801,1,2290.55829
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",101.75476,1,2803.64182
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",149.38347,1,2065.6539
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",356.46574,1,5172.67823
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",224.20213,1,2468.22591
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",294.48606,1,4122.30243
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",241.1651,1,6071.92576
"2020-06_south-west_stereo-BRUVs","06","Rhinobatidae","Trygonorrhina","dumerilii",NA,1,1606.49534
"2020-06_south-west_stereo-BRUVs","06","Rhinobatidae","Trygonorrhina","dumerilii",NA,1,1626.74287
"2020-06_south-west_stereo-BRUVs","08","Labridae","Choerodon","rubescens",541.68546,1,5236.62093
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Tilodon","sexfasciatus",313.20584,1,2275.99403
"2020-06_south-west_stereo-BRUVs","08","Serranidae","Epinephelides","armatus",398.1411,1,2172.0467
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",111.44567,1,2758.31022
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",167.25254,1,3732.19351
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",156.92345,1,3372.63822
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",168.12549,1,2720.86986
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",90.94538,1,4142.05022
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",72.39661,1,2980.54421
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",119.75905,1,4020.8974
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Scorpis","georgiana",310.53753,1,2033.42723
"2020-06_south-west_stereo-BRUVs","08","Glaucosomatidae","Glaucosoma","hebraicum",649.54941,1,2574.7105
"2020-06_south-west_stereo-BRUVs","08","Glaucosomatidae","Glaucosoma","hebraicum",595.8589,1,1989.67758
"2020-06_south-west_stereo-BRUVs","08","Scorpaenidae","Scorpaena","sumptuosa",241.92986,1,2608.3491
