"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-10_south-west_stereo-BRUVs","IO300","IO","Legacy",-34.08618897,114.6688721,20201123,"7:18","South-west","No-take","C.IO.14",138,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO302","IO","Legacy",-34.07118897,114.7238721,20201023,"7:13:00","South-west","No-take","C.IO.13",122,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO306","IO","Legacy",-34.10118897,114.7338721,20201022,"10:29:00","South-west","No-take","C.IO.10",124,"Rachel","Yes","Yes","National Park Zone",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO307","IO","Legacy",-34.11868897,114.7263721,20201022,"9:56:00","South-west","No-take","C.IO.9",128,"Daphne - finishes at 59:36","Yes","Yes","National Park Zone",NA,"RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO308","IO","Legacy",-34.11118897,114.7288721,20201022,"10:06:00","South-west","No-take","C.IO.9",126,"Rachel","Yes","Yes","National Park Zone",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO310","IO","Legacy",-34.05868897,114.7738721,20201015,"10:06:00","South-west","No-take","C.IO.8",64.7,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO311","IO","Legacy",-34.05618897,114.7688721,20201015,"10:03:00","South-west","No-take","C.IO.8",66.1,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO312","IO","Legacy",-34.05868897,114.7788721,20201015,"10:17:00","South-west","No-take","C.IO.8",61.2,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO313","IO","Legacy",-34.09618897,114.7563721,20201022,"12:47:00","South-west","No-take","C.IO.11",108,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO319","IO","Legacy",-34.09368897,114.7313721,20201022,"10:37:00","South-west","No-take","C.IO.10",124,"Rachel","Yes","Yes","National Park Zone",NA,"RAW3","BU3"
"2020-10_south-west_stereo-BRUVs","IO323","IO","Legacy",-34.03103333,114.6001,20201123,"9:48","South-west","Fished","C.IO.27",141,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO324","IO","Legacy",-34.00006,114.639778,20201023,"11:59:00","South-west","Fished","C.IO.26",141,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO325","IO","Legacy",-33.991557,114.743378,20201015,"7:44:00","South-west","Fished","C.IO.25",85,"Hayley","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO326","IO","Legacy",-34.00425,114.6892833,20201123,"12:26","South-west","Fished","C.IO.24",121,"Daphne","Yes","No","Special Purpose Zone (Mining Exclusion)",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO327","IO","Legacy",-34.02946667,114.7623833,20201015,"8:17:00","South-west","Fished","C.IO.23",65.4,"Hayley","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO328","IO","Legacy",-33.99356667,114.8213667,20201019,"7:13:00","South-west","Fished","C.IO.22",43.8,"Rachel","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO329","IO","Legacy",-34.06481667,114.7266333,20201023,"7:18:00","South-west","No-take","C.IO.13",121,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO330","IO","Legacy",-34.08833333,114.7545,20201022,"13:00:00","South-west","No-take","C.IO.12",116,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO331","IO","Legacy",-34.0984,114.75005,20201022,"12:30:00","South-west","No-take","C.IO.11",112,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO332","IO","Legacy",-34.09718333,114.7344833,20201022,"10:33:00","South-west","No-take","C.IO.10",124,"Rachel","Yes","Yes","National Park Zone",NA,"RAW3","BU3"
"2020-10_south-west_stereo-BRUVs","IO333","IO","Legacy",-34.11301667,114.7251333,20201022,"10:01:00","South-west","No-take","C.IO.9",127,"Rachel","Yes","Yes","National Park Zone",NA,"RAW3","BU3"
"2020-10_south-west_stereo-BRUVs","IO334","IO","Legacy",-34.06155,114.7753667,20201015,"10:11:00","South-west","No-take","C.IO.8",64,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO335","IO","Legacy",-34.06686667,114.7939833,20201015,"10:31:00","South-west","No-take","C.IO.7",58,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO336","IO","Legacy",-34.0924,114.8663667,20201016,"10:03:00","South-west","No-take","C.IO.6",43.2,"Daphne","Yes","No","National Park Zone",NA,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO337","IO","Legacy",-34.00536667,114.8202333,20201019,"7:02:00","South-west","Fished","C.IO.21",43,"Daphne","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA,"RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO338","IO","Legacy",-33.97231667,114.92245,20201019,"11:50:00","South-west","Fished","C.IO.20",46,"Daphne","Yes","Yes",NA,NA,"RAW3","BU5.5"
