"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","broad.consolidated","broad.macroalgae","broad.seagrasses","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"IO117",-34.06368897,114.7388721,20201023,07:25:00,"C.IO.31","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO119",-34.07618897,114.9038721,20201029,10:17:00,"C.IO.39","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO122",-34.11618897,114.8263721,20201015,12:35:00,"C.IO.59","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO123",-34.10618897,114.8188721,20201015,12:42:00,"C.IO.59","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO125",-34.10868897,114.8263721,20201015,12:38:00,"C.IO.59","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO126",-34.11368897,114.8188721,20201015,12:31:00,"C.IO.59","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO130",-33.98118897,114.8763721,20201013,12:24:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO132",-33.99118897,114.8713721,20201013,12:47:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO133",-33.99118897,114.8663721,20201013,12:50:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO134",-33.98368897,114.8613721,20201013,12:14:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO146",-33.97618897,114.8213721,20201013,10:17:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO147",-33.98118897,114.8313721,20201013,10:28:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO148",-34.01118897,114.5963721,20201123,10:31:00,"C.IO.46","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO15",-34.06118897,114.8663721,20201016,07:59:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO153",-34.04618897,114.8888721,20201016,07:36:00,"C.IO.65","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO189",-33.98868897,114.6638721,20201023,12:31:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO191",-33.99868897,114.6713721,20201023,12:20:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO192",-33.98618897,114.6688721,20201023,12:36:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO194",-33.99618897,114.6638721,20201023,12:24:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
