"sample","latitude","longitude","date","time","site","location","successful.count"
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes"
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west","Yes"
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes"
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes"
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west","Yes"
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes"
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes"
"IO189",-33.98868897,114.6638721,20201023,12:31:00,"C.IO.40","South-west","Yes"
"IO191",-33.99868897,114.6713721,20201023,12:20:00,"C.IO.40","South-west","Yes"
"IO192",-33.98618897,114.6688721,20201023,12:36:00,"C.IO.40","South-west","Yes"
"IO194",-33.99618897,114.6638721,20201023,12:24:00,"C.IO.40","South-west","Yes"
"IO195",-34.09368897,114.8588721,20201016,09:57:00,"C.IO.6","South-west","Yes"
"IO199",-34.08618897,114.8613721,20201016,09:51:00,"C.IO.6","South-west","Yes"
"IO201",-34.05618897,114.8338721,20201015,14:46:00,"C.IO.5","South-west","Yes"
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes"
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west","Yes"
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes"
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes"
"IO211",-34.05618897,114.9063721,20201029,10:42:00,"C.IO.3","South-west","Yes"
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes"
"IO216",-34.06118897,114.9163721,20201029,10:33:00,"C.IO.3","South-west","Yes"
"IO217",-34.06618897,114.9188721,20201016,12:43:00,"C.IO.2","South-west","Yes"
"IO218",-34.07368897,114.9213721,20201016,12:28:00,"C.IO.2","South-west","Yes"
