"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"distance_from_access+sd_relief...65","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",74.8809774770643,85.0091293592436,0.02988,NA,3.22,0,3.792,8.009,0.011,0.007,1,0,0,0,0,0,1,0.937
"depth_m+macroalgae+seagrasses...66","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",75.2058358968156,90.0781703407735,0.04682,NA,5.92,0,4.117,13.078,0.009,0.001,0,0,1,1,1,0,0,0.946
"depth_m+distance_from_access+sd_relief...67","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",75.3861734400923,87.9772794209162,0.0391,NA,4.78,0,4.297,10.977,0.008,0.001,1,0,0,0,1,0,1,0.954
"macroalgae+mean_relief+sd_relief...68","Legal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",75.4470340904626,88.0702067736584,0.04497,NA,4.58,0,4.358,11.07,0.008,0.001,0,0,1,0,0,1,1,0.962
"depth_m+sd_relief+seagrasses...69","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",75.4901974437699,88.0312045109653,0.02297,NA,4.72,0,4.401,11.031,0.008,0.001,0,0,0,1,1,0,1,0.97
"sd_relief+seagrasses...70","Legal KGW","s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",75.5282082151512,84.9922703379516,0.00639,NA,3,0,4.439,7.992,0.008,0.007,0,0,0,1,0,0,1,0.978
"distance_from_access+mean_relief+sd_relief...71","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",75.5319450364219,87.6156932087013,0.04102,NA,4.38,0,4.443,10.615,0.008,0.002,1,0,0,0,0,1,1,0.986
"depth_m+distance_from_access+macroalgae...72","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",75.596834080476,89.5248564214981,0.05239,NA,5.48,0,4.508,12.524,0.008,0.001,1,0,1,0,1,0,0,0.994
"distance_from_access+macroalgae+mean_relief...73","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",76.2835709214082,89.6374865007596,0.04256,NA,5.06,0,5.195,12.637,0.005,0.001,1,0,1,0,0,1,0,0.999
"sd_relief+unconsolidated...74","Sublegal KGW","s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",86.862424712701,96.32625688379,0.14206,NA,3,0,0,0,0.344,0.418,0,1,0,0,0,0,1,0.344
"macroalgae+sd_relief...75","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",89.8700229134123,100.826227807883,0.08908,NA,3.69,0,3.008,4.5,0.076,0.044,0,0,1,0,0,0,1,0.42
"distance_from_access+sd_relief+unconsolidated...76","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",89.99697014845,101.106794913397,0.14126,NA,4,0,3.135,4.781,0.072,0.038,1,1,0,0,0,0,1,0.492
"unconsolidated...77","Sublegal KGW","s(unconsolidated, k = 3, bs = ""cr"")",90.3647084664907,99.7513330959656,0.08545,NA,2.79,0,3.502,3.425,0.06,0.075,0,1,0,0,0,0,0,0.552
